stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1366007,1,Train Depot,Train Depot,31.3277713914326,-89.2856817900802,,0,,,
1366014,2,Main St and W Front,,31.3264163588242,-89.2896585267476,,0,,,
1366015,3,Main St and New Orleans St,Federal Building,31.3279244999389,-89.2917251586914,,0,,,
1366016,4,On McLeod St  By Fire Station No.1,FireStation No.1,31.3280894631537,-89.293624162674,,0,,,
1366021,5,On Hardy St @ Main Library,On Hardy St (Main Library),31.3248792283969,-89.2969485848976,,0,,,
1366023,6,Hardy St and Hutchinson Ave.,Hardy St and Hutchinson Ave.,31.3248300709717,-89.3099194469252,,0,,,
1366024,7,Hardy and 17th St. (Across Zoo),Hardy and 17th St. (Across Zoo),31.3247706530846,-89.3143514597885,,0,,,
1366026,8,Hardy St and Park Ave.,Hardy St and Park Ave.,31.3248168980694,-89.3177549149992,,0,,,
1366027,9,Hardy St and 20th Ave,Hardy St and 20th Ave,31.3247803985083,-89.3215543842679,,0,,,
1366029,10,Hardy St and 25th Ave,Hardy St and 25th Ave,31.3248628829067,-89.3276399511115,,0,,,
1366030,11,Hardy St and USM Rose Garden,Hardy St and USM Rose Garden,31.3249276496711,-89.3310889967776,,0,,,
1366031,12,Hardy St and 30th St  (JR Gas Station),Hardy St and 30th St  (JR Gas Station),31.324897528937,-89.3356357283762,,0,,,
1366032,13,Hardy St and Ross S t(34h St),Hardy St and Ross St (34h St),31.3249911918272,-89.3394710484662,,0,,,
1366033,14,Hardy St and 36th St,Hardy St and 36th St,31.3250469078409,-89.3431169016236,,0,,,
1366034,15,Hardy St and  38th St,Hardy St and  38th St,31.3250743430848,-89.3454425389668,,0,,,
1366035,16,Hardy St and  N 40th Ave,Hardy St and  N 40th St,31.3251154986045,-89.3478181958199,,0,,,
1366036,17,Hardy St and Coco Cola Ave,Hardy St and Coco Cola Ave,31.3244428079746,-89.3592139589124,,0,,,
1366042,18,Hardy St (Across from McDonalds),Hardy St (Across from McDonalds),31.3235596242789,-89.3637474529591,,0,,,
1366050,19,Wesley (Green Eye Institute),Wesley (Green Eye Institute),31.3244178983553,-89.3660555213708,,0,,,
1366051,20,Wesley (Front Entrance),Wesley (Front Entrance),31.3255762657781,-89.3669149638396,,0,,,
1366052,21,Wesley (Millsaps Dr),Wesley (Millsaps Dr),31.3238843699063,-89.3676838506019,,0,,,
1366054,22,Turtle Creek mall 1,Turtle Creek mall (Between Dillards and Pier 1 imports),31.3244266683696,-89.3743229976758,,0,,,
1366055,23,Turtle Creek Mall 2,Turtle Creek Mall (Between Dicks Sporting and Dillards),31.3233572391489,-89.3757027944251,,0,,,
1366066,24,Turtle Creek Mall 3,Turtle Creek Mall (In front of Rio Grande),31.3276013919222,-89.3780642720896,,0,,,
1366067,25,Cross Creek Parkway (Across Bed Bath and Beyond),Cross Creek Parkway (Across Bed Bath and Beyond),31.3234770538021,-89.381220537599,,0,,,
1366068,26,Walmart,Walmart,31.3204869024957,-89.3793087249463,,0,,,
1366069,27,Hardy St (Lowes),Hardy St (Lowes),31.3220085446966,-89.375219643116,,0,,,
1366070,28,Hardy St (TJ Max),Hardy St (TJ Max),31.3222835005052,-89.371622800827,,0,,,
1366071,29,Hardy St (Shell Gas station),Hardy St (Shell Gas station),31.3227692538046,-89.3667116761208,,0,,,
