trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
3599296,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600082,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600083,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600084,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600094,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600085,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600095,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600086,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600096,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600087,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600097,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600088,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600098,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600089,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600099,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600090,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600100,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600091,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600101,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600092,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600102,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3600093,35780,71799,Blue Line,Blue Route,0,118321,1,1,,
3599297,35781,71799,,Green Route,1,118352,1,1,,
3599323,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599324,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599325,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599326,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599327,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599328,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599329,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599330,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599331,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599332,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599333,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599334,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599335,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599336,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599337,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599338,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599339,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599340,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599341,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599342,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599343,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599344,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599345,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599346,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599347,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599348,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599349,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599350,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
3599351,35782,71799,Gold Route,Gold Route,0,121330,1,1,,
